City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Odweyne,SO,75.85,broken clouds,9.4092,45.064,Eng Hiirey House
281,Pasni,PK,82.26,clear sky,25.2631,63.471,Kashmiri Hotal
285,Kirakira,SB,83.44,overcast clouds,-10.4544,161.9205,SanBiz Lodge
288,Gamba,GA,75.76,overcast clouds,-2.65,10.0,
291,Dzilam Gonzalez,MX,78.75,clear sky,21.2833,-88.9333,posadas
293,Jinji,CN,80.01,overcast clouds,23.2281,110.8261,
296,Touros,BR,75.99,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
298,Bambanglipuro,ID,85.42,overcast clouds,-7.95,110.2833,Puri Brata
299,Mana,GF,77.05,overcast clouds,5.6592,-53.7767,LE SAMANA
302,Fare,PF,81.9,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
308,Guider,CM,85.8,overcast clouds,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
312,Kroya,ID,85.35,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
314,Garowe,SO,83.5,light rain,8.4054,48.4845,Curubo Hotel
316,New Port Richey,US,77.97,clear sky,28.2442,-82.7193,Quality Inn & Suites Conference Center
324,Marawi,PH,79.63,broken clouds,7.9986,124.2928,Derogongan Residence
328,Gushikawa,JP,80.19,overcast clouds,26.3544,127.8686,Kirari Guest House
331,Isangel,VU,78.04,few clouds,-19.55,169.2667,Tanna Lodge
332,Houma,US,77.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
340,Aguada De Pasajeros,CU,75.27,clear sky,22.385,-80.8508,El Bosque
348,Sorong,ID,85.39,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
352,Kulhudhuffushi,MV,84.69,broken clouds,6.6221,73.07,Haajy Guest House 1
356,Kahului,US,75.97,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
358,Kuching,MY,86.22,few clouds,1.55,110.3333,Hilton Kuching
363,Yarada,IN,88.12,haze,17.65,83.2667,Yarada Jungle Beach Resorts
364,Itoman,JP,80.98,moderate rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
367,Kununurra,AU,87.78,clear sky,-15.7667,128.7333,Hotel Kununurra
368,Tual,ID,84.92,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
371,Saint-Louis,SN,79.59,clear sky,16.3333,-15.0,
376,San Antonio,US,86.16,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
389,Sur,OM,88.61,clear sky,22.5667,59.5289,Sur Plaza Hotel
390,Brownwood,US,88.92,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
392,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
395,Sola,VU,81.5,few clouds,-13.8833,167.55,Leumerus Bungalows
397,Meulaboh,ID,78.71,overcast clouds,4.1363,96.1285,Kost Pria
399,San Patricio,US,80.69,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
400,Kilindoni,TZ,81.19,few clouds,-7.9139,39.6668,Bustani B&B
401,Ducheng,CN,80.94,light rain,23.2373,111.5317,Xinyongguang Hotel
402,San Ignacio,BZ,76.8,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
403,Hua Hin,TH,86.02,moderate rain,12.5707,99.9588,"InterContinental Hua Hin Resort, an IHG Hotel"
404,Kupang,ID,87.62,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
408,Port Hedland,AU,89.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
409,Bara,NG,82.04,overcast clouds,10.3744,10.7288,
411,Namatanai,PG,85.55,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
413,Vanimo,PG,86.11,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
418,Houston,US,81.34,haze,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
419,Maraba,BR,78.98,broken clouds,-5.3686,-49.1178,Hotel Del Principe
420,Tessalit,ML,76.24,clear sky,20.1986,1.0114,
