City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Lompoc,US,34.6391,-120.4579,60.57,57,1,11.99,clear sky
80,Tukrah,LY,32.5341,20.5791,60.87,85,0,4.38,clear sky
81,Nikolskoye,RU,59.7035,30.7861,37.71,85,0,5.44,clear sky
82,Bethel,US,41.3712,-73.414,51.89,46,100,3.0,overcast clouds
83,Yellowknife,CA,62.456,-114.3525,27.12,80,100,31.07,overcast clouds
84,Picos,BR,-7.0769,-41.4669,79.18,57,95,2.46,overcast clouds
85,Pevek,RU,69.7008,170.3133,25.12,77,99,5.03,overcast clouds
86,Jamestown,US,42.097,-79.2353,47.52,77,0,6.87,clear sky
87,Mahebourg,MU,-20.4081,57.7,71.26,84,27,5.28,scattered clouds
88,Te Anau,NZ,-45.4167,167.7167,55.69,78,52,0.89,broken clouds
89,Baracoa,CU,20.3467,-74.4958,76.89,81,0,2.01,clear sky
90,Itarema,BR,-2.9248,-39.9167,77.52,87,100,6.8,overcast clouds
91,Naze,JP,28.3667,129.4833,72.21,83,97,6.49,overcast clouds
92,Erenhot,CN,43.6475,111.9767,67.71,22,100,21.74,overcast clouds
93,Namioka,JP,40.7072,140.5894,60.91,30,2,16.04,clear sky
94,Port Elizabeth,ZA,-33.918,25.5701,58.32,97,63,1.01,broken clouds
95,Batagay,RU,67.6333,134.6333,34.88,99,100,1.23,light snow
96,Nanortalik,GL,60.1432,-45.2371,36.63,91,100,2.77,overcast clouds
97,Bintulu,MY,3.1667,113.0333,78.62,90,100,5.7,moderate rain
98,Saskylakh,RU,71.9167,114.0833,12.6,90,74,14.25,broken clouds
99,Darnah,LY,32.767,22.6367,61.34,86,0,13.35,clear sky
100,Fredericton,CA,45.9454,-66.6656,42.84,61,6,3.47,clear sky
101,Port Blair,IN,11.6667,92.75,82.94,81,92,12.95,overcast clouds
102,Iqaluit,CA,63.7506,-68.5145,29.7,63,100,11.01,overcast clouds
103,Pacific Grove,US,36.6177,-121.9166,56.88,70,6,8.99,clear sky
104,Lorengau,PG,-2.0226,147.2712,85.89,66,100,15.61,overcast clouds
105,Torbay,CA,47.6666,-52.7314,36.27,91,40,5.75,scattered clouds
106,Qaanaaq,GL,77.484,-69.3632,19.99,69,99,7.29,overcast clouds
107,Avarua,CK,-21.2078,-159.775,80.56,81,4,11.36,light rain
108,Vaini,TO,-21.2,-175.2,75.69,69,0,18.92,clear sky
109,Airai,TL,-8.9266,125.4092,71.67,59,18,5.57,few clouds
110,Taltal,CL,-25.4,-70.4833,61.9,70,0,5.91,clear sky
111,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,77,0,11.5,clear sky
112,Klaksvik,FO,62.2266,-6.589,47.32,98,100,17.6,light rain
113,Ponta Do Sol,PT,32.6667,-17.1,64.0,58,22,4.52,few clouds
114,Tuktoyaktuk,CA,69.4541,-133.0374,36.03,91,52,11.81,broken clouds
115,Keti Bandar,PK,24.1447,67.4497,81.39,79,0,15.64,clear sky
116,Tateyama,JP,34.9833,139.8667,62.44,84,90,2.91,overcast clouds
117,Joao Camara,BR,-5.5375,-35.8197,74.93,84,100,11.61,overcast clouds
118,Pangoa,PE,-12.1167,-73.0,69.31,87,77,2.73,broken clouds
119,Lazurne,UA,46.084,32.5295,51.66,57,1,4.65,clear sky
120,Bela,IN,25.9333,81.9833,90.63,35,0,8.75,clear sky
121,Karratha,AU,-20.7377,116.8463,83.35,27,85,21.54,overcast clouds
122,Kailua,US,21.4022,-157.7394,82.02,74,75,13.8,broken clouds
123,East London,ZA,-33.0153,27.9116,62.08,76,90,11.52,overcast clouds
124,Kahului,US,20.8947,-156.47,77.97,83,55,11.01,broken clouds
125,Egvekinot,RU,66.3167,-179.1667,29.39,82,99,8.55,overcast clouds
126,Bloomfield,US,40.8068,-74.1854,55.98,37,20,14.97,few clouds
127,Tiksi,RU,71.6872,128.8694,15.17,83,12,4.16,few clouds
128,Saint George,US,37.1041,-113.5841,79.39,8,0,40.29,haze
129,Bend,US,44.0582,-121.3153,41.47,61,40,3.44,scattered clouds
130,Tabou,CI,4.423,-7.3528,77.25,89,99,3.24,light rain
131,Bredasdorp,ZA,-34.5322,20.0403,55.63,78,100,3.85,overcast clouds
132,Honiara,SB,-9.4333,159.95,86.86,70,82,10.31,broken clouds
133,Hobart,AU,-42.8794,147.3294,58.26,63,20,9.22,few clouds
134,Tarbagatay,RU,51.4803,107.3602,36.93,50,74,19.75,broken clouds
135,Usinsk,RU,65.9939,57.5281,39.78,91,100,9.19,light rain
136,Zhigansk,RU,66.7697,123.3711,21.49,77,100,22.48,overcast clouds
137,Anadyr,RU,64.75,177.4833,35.01,80,16,21.56,few clouds
138,Ambilobe,MG,-13.2,49.05,69.64,94,3,3.13,clear sky
139,Leningradskiy,RU,69.3833,178.4167,30.02,89,100,16.69,light snow
140,Matagami,CA,49.7502,-77.6328,48.2,51,12,5.37,few clouds
141,Wlingi,ID,-8.0776,112.3311,82.44,74,79,2.84,broken clouds
142,Rawson,AR,-43.3002,-65.1023,56.53,44,0,6.02,clear sky
143,Chokurdakh,RU,70.6333,147.9167,22.48,86,95,11.9,overcast clouds
144,Caravelas,BR,-17.7125,-39.2481,72.93,86,20,8.9,few clouds
145,Tual,ID,-5.6667,132.75,84.22,78,100,10.25,overcast clouds
146,Uyar,RU,55.81,94.3153,39.24,33,12,13.24,few clouds
147,Kavieng,PG,-2.5744,150.7967,85.57,66,100,16.6,overcast clouds
148,Rabo De Peixe,PT,37.8,-25.5833,61.29,86,20,3.44,few clouds
149,Amahai,ID,-3.3333,128.9167,85.62,70,100,2.64,overcast clouds
150,Bandarbeyla,SO,9.4942,50.8122,82.11,84,33,7.34,scattered clouds
151,Fortuna,US,40.5982,-124.1573,47.98,88,100,9.22,overcast clouds
152,Vrangel,RU,42.7297,133.0839,52.72,54,8,11.34,clear sky
153,Bure,ET,10.7,37.0667,61.77,73,55,2.57,broken clouds
154,Port Jervis,US,41.3751,-74.6927,53.38,53,100,7.67,overcast clouds
155,Saint-Francois,FR,46.4154,3.9054,47.68,93,0,2.3,clear sky
156,Moron,AR,-34.6534,-58.6198,61.99,93,99,5.3,overcast clouds
157,Dingle,PH,10.9995,122.6711,87.73,55,78,12.28,broken clouds
158,Richards Bay,ZA,-28.783,32.0377,62.73,85,47,7.52,scattered clouds
159,Chuy,UY,-33.6971,-53.4616,56.77,90,0,6.46,clear sky
160,Meulaboh,ID,4.1363,96.1285,80.55,84,100,4.65,light rain
161,Bereda,ES,43.2686,-7.5406,50.58,100,60,1.57,broken clouds
162,Lasa,IT,46.6166,10.7002,48.36,98,100,0.92,overcast clouds
163,Souillac,MU,-20.5167,57.5167,75.27,81,53,5.12,broken clouds
164,Codrington,AU,-38.2667,141.9667,59.85,52,12,4.05,few clouds
165,New Norfolk,AU,-42.7826,147.0587,57.92,55,15,2.68,few clouds
166,Christchurch,NZ,-43.5333,172.6333,63.95,81,75,10.36,broken clouds
167,Vanimo,PG,-2.6741,141.3028,85.98,70,100,9.62,overcast clouds
168,Khatanga,RU,71.9667,102.5,14.38,85,9,12.39,clear sky
169,Bathsheba,BB,13.2167,-59.5167,78.78,80,25,13.96,scattered clouds
170,Provideniya,RU,64.3833,-173.3,33.4,94,100,10.31,overcast clouds
171,Clyde River,CA,70.4692,-68.5914,16.12,90,16,4.43,few clouds
